Player,Country,Team,Goals
Jeffrey Schlupp,Ghana,Crystal Palace,2
Jesse Lingard,England,Manchester United West Ham United,9
Jimmy Dunne,Ireland,Burnley FC,1
Joachim Andersen,Denmark,Fulham FC,1
Joao Cancelo,Portugal,Manchester City,2
Joao Moutinho,Portugal,Wolverhampton Wanderers,1
Joe Bryan,England,Fulham FC,1
Joe Willock,England,Arsenal FC Newcastle United,8
Joel Matip,Cameroon,Liverpool FC,1
Joel Veltman,Netherlands,Brighton & Hove Albion,1
Joelinton Cassio Apolinairio de Lira,Brazil,Newcastle United,4
Johann Gudmundsson,Iceland,Burnley FC,2
John McGinn,Scotland,Aston Villa,3
John Stones,England,Manchester City,4
Jonjo Shelvey,England,Newcastle United,1
Jonny Evans,Northern Ireland,Leicester City,2
Jordan Ayew,Ghana,Crystal Palace,1
Jordan Henderson,England,Liverpool FC,1
Jordan Pickford,England,Everton FC,0
Jorge Luiz Frello Filho,Italy,Chelsea FC,7
Josh Maja,Nigeria,Fulham FC,3
Kai Havertz,Germany,Chelsea FC,4
Kalvin Phillips,England,Leeds United,1
Karlan Grant,England,West Bromwich Albion,1
Kasper Schmeichel,Denmark,Leicester City,0
Kepa Arrizabalaga,Spain,Chelsea FC,0
Kean Bryan,England,Sheffield United,1
Keinan Davis,England,Aston Villa,1
Kelechi Iheanacho,Nigeria,Leicester City,12
Kevin De Bruyne,Belgium,Manchester City,6
Kieran Tierney,Scotland,Arsenal FC,1
Kortney Hause,England,Aston Villa,1
Kurt Zouma,France,Chelsea FC,5
Kyle Bartley,England,West Bromwich Albion,3
Kyle Walker,England,Manchester City,1
Leander Dendoncker,Belgium,Wolverhampton Wanderers,1
Leandro Trossard,Belgium,Brighton & Hove Albion,5
Lewis Dunk,England,Brighton & Hove Albion,5
Liam Cooper,Scotland,Leeds United,1
Llorente,Spain,Leeds United,1
Lucas Digne,France,Everton FC,0
Lucas Moura,Brazil,Tottenham Hotspur,3
Luka Milivojevic,Serbia,Crystal Palace,1
Luke Shaw,England,Manchester United,1
Luke Thomas,England,Leicester City,1
Malang Sarr,France,Chelsea FC,0
Manuel Lanzini,Argentina,West Ham United,1
Marc Albrighton,England,Leicester City,1
Marcos Alonso,Spain,Chelsea FC,2
Marcus Rashford,England,Manchester United,11
Mario Lemina,Gabon,Fulham FC,1
Martin Odegaard,Norway,Arsenal FC,1
Mason Greenwood,England,Manchester United,7
Mason Holgate,England,Everton FC,1
Mason Mount,England,Chelsea FC,6
Mata,Spain,Manchester United,1
Matej Vydra,Czech Republic,Burnley FC,3
Mateo Kovacic,Croatia,Chelsea FC,0
Mateusz Klich,Poland,Leeds United,4
Matheus Pereira,Brazil,West Bromwich Albion,11
Matt Phillips,Scotland,West Bromwich Albion,2
Matthew Lowton,England,Burnley FC,1
Mbaye Diagne,Senegal,West Bromwich Albion,3
Michael Keane,England,Everton FC,3
Michail Antonio,Jamaica,West Ham United,10
Michy Batshuayi,Belgium,Crystal Palace,2
Miguel Almiron,Paraguay,Newcastle United,4
Mohamed Elneny,Egypt,Arsenal FC,1
Mohamed Salah,Egypt,Liverpool FC,22
Morgan Gibbs-White,England,Wolverhampton Wanderers,1
Moussa Djenepo,Mali,Southampton FC,1
Naby Keita,Guinea,Liverpool FC,0
Nathan Ake,Netherlands,Manchester City,1
Nathan Redmond,England,Southampton FC,2
Nathan Tella,England,Southampton FC,1
Nathaniel Phillips,England,Liverpool FC,1
Neal Maupay,France,Brighton & Hove Albion,8
Nelson Semedo,Portugal,Wolverhampton Wanderers,1
N'Golo Kante,France,Chelsea FC,0
Nicolas Pepe,Ivory Coast,Arsenal FC,10
Onyinye Ndidi,Nigeria,Leicester City,7
Ola Aina,Nigeria,Fulham FC,2
Oliver Burke,Scotland,Sheffield United,1
Oliver McBurnie,Scotland,Sheffield United,1
Olivier Giroud,France,Chelsea FC,4
Ollie Watkins,England,Aston Villa,14
Oriol Romeu,Spain,Southampton FC,1
Oscar,Brazil,Chelsea FC,9
Pablo Fornals,Spain,West Ham United,5
Pascal Grob,Germany,Brighton & Hove Albion,3
Pascal Struijk,Netherlands,Leeds United,1
Patrick Bamford,England,Leeds United,17
Paul Dummett,Wales,Newcastle United,1
Paul Pogba,France,Manchester United,3
Pedro Neto,Portugal,Wolverhampton Wanderers,5
Phil Foden,England,Manchester City,9
Pierre-Emerick Aubameyang,Gabon,Arsenal FC,10
Pierre-Emile Hojbjerg,Denmark,Tottenham Hotspur,2
Raheem Sterling,England,Manchester City,10
Raphael Varane,France,Manchester United,0
Raphinha,Brazil,Leeds United,6
Raul Jimenez,Mexico,Wolverhampton Wanderers,4
Rayan Ait-Nouri,France,Wolverhampton Wanderers,1
Reece James,England,Chelsea FC,1
Richarlison de Andrade,Brazil,Everton FC,7
Riyad Mahrez,Algeria,Manchester City,9
Robbie Brady,Ireland,Burnley FC,1
Roberto Firmino,Brazil,Liverpool FC,9
Rodrigo,Spain,Leeds United,7
Rodrigo Hernandez Cascante,Spain,Manchester City,2
Romelu Lukaku,Belgium,Chelsea FC,1
Romain Saiss,Morocco,Wolverhampton Wanderers,3
Ross Barkley,England,Aston Villa Chelsea FC,3
Ruben Dias,Portugal,Manchester City,1
Ruben Loftus-Cheek,England,Chelsea FC Fulham FC,1
Ruben Neves,Portugal,Wolverhampton Wanderers,5
Ryan Fredericks,England,West Ham United,1
Sadio Mane,Senegal,Liverpool FC,11
Said Benrahma,Algeria,West Ham United,1
Saido Berahino,England,Stoke City,3
Sander Berge,Norway,Sheffield United,1
Scott Dann,England,Crystal Palace,1
Scott McTominay,Scotland,Manchester United,4
Sebastien Haller,Ivory Coast,West Ham United,3
Semi Ajayi,Nigeria,West Bromwich Albion,2
Serge Aurier,Ivory Coast,Tottenham Hotspur,2
Sergio Aguero,Argentina,Manchester City,4
Solly March,England,Brighton & Hove Albion,2
Steven Alzate,Colombia,Brighton & Hove Albion,1
Steven Bergwijn,Netherlands,Tottenham Hotspur,1
Stuart Armstrong,Scotland,Southampton FC,4
Stuart Dallas,Northern Ireland,Leeds United,8
Takumi Minamino,Japan,Liverpool FC Southampton FC,3
Tammy Abraham,England,Chelsea FC,6
Tanguy Ndombele,France,Tottenham Hotspur,3
Tariq Lamptey,England,Brighton & Hove Albion,1
Theo Walcott,England,Everton FC Southampton FC,3
Thiago,Spain,Liverpool FC,1
