Rank,Player,Unnamed: 2,Country,Team,Goals (Penalty)
,Theo Walcott,,England,Everton FC Southampton FC,3 (0)
,Ashley Westwood,,England,Burnley FC,3 (0)
112,Adama Traoré,,Spain,Wolverhampton Wanderers,2 (0)
,Ola Aina,,Nigeria,Fulham FC,2 (0)
,Semi Ajayi,,Nigeria,West Bromwich Albion,2 (0)
,Trent Alexander-Arnold,,England,Liverpool FC,2 (0)
,Ezgjan Alioski,,North Macedonia,Leeds United,2 (0)
,Serge Aurier,,Ivory Coast,Tottenham Hotspur,2 (0)
,Ayoze Pérez,,Spain,Leicester City,2 (0)
,Michy Batshuayi,,Belgium,Crystal Palace,2 (0)
,Bernardo Silva,,Portugal,Manchester City,2 (0)
,Jayden Bogle,,England,Sheffield United,2 (0)
,Timothy Castagne,,Belgium,Leicester City,2 (0)
,Aaron Connolly,,Ireland,Brighton & Hove Albion,2 (0)
,Issa Diop,,France,West Ham United,2 (0)
,Abdoulaye Doucouré,,France,Everton FC,2 (0)
,Jonny Evans,,Northern Ireland,Leicester City,2 (0)
,Gabriel,,Brazil,Arsenal FC,2 (0)
,Gabriel Martinelli,,Brazil,Arsenal FC,2 (0)
,Conor Gallagher,,England,West Bromwich Albion,2 (0)
,Jóhann Guðmundsson,,Iceland,Burnley FC,2 (0)
,Jeff Hendrick,,Ireland,Newcastle United,2 (0)
,Pierre-Emile Højbjerg,,Denmark,Tottenham Hotspur,2 (0)
,Callum Hudson-Odoi,,England,Chelsea FC,2 (0)
,João Cancelo,,Portugal,Manchester City,2 (0)
,James Justin,,England,Leicester City,2 (0)
,Ezri Konsa,,England,Aston Villa,2 (0)
,Jamaal Lascelles,,England,Newcastle United,2 (0)
,Harry Maguire,,England,Manchester United,2 (0)
,Solly March,,England,Brighton & Hove Albion,2 (0)
,Marcos Alonso,,Spain,Chelsea FC,2 (0)
,Dwight McNeil,,England,Burnley FC,2 (0)
,Ben Mee,,England,Burnley FC,2 (0)
,Benjamin Mendy,,France,Manchester City,2 (0)
,Yerry Mina,,Colombia,Everton FC,2 (0)
,Tyrone Mings,,England,Aston Villa,2 (0)
,Jacob Murphy,,England,Newcastle United,2 (0)
,Eddie Nketiah,,England,Arsenal FC,2 (0)
,Matt Phillips,,Scotland,West Bromwich Albion,2 (0)
,Nathan Redmond,,England,Southampton FC,2 (0)
,Declan Rice,,England,West Ham United,2 (1)
,Jaïro Riedewald,,Netherlands,Crystal Palace,2 (0)
,Hal Robson-Kanu,,Wales,West Bromwich Albion,2 (0)
,Rodri,,Spain,Manchester City,2 (1)
,Jeffrey Schlupp,,Ghana,Crystal Palace,2 (0)
,Emile Smith Rowe,,England,Arsenal FC,2 (0)
,Thiago Silva,,Brazil,Chelsea FC,2 (0)
,Trezeguet,,Egypt,Aston Villa,2 (0)
,Aaron Wan-Bissaka,,England,Manchester United,2 (0)
,Georginio Wijnaldum,,Netherlands,Liverpool FC,2 (0)
,Hakim Ziyech,,Morocco,Chelsea FC,2 (0)
161,Rayan Aït Nouri,,France,Wolverhampton Wanderers,1 (0)
,Nathan Aké,,Netherlands,Manchester City,1 (0)
,Marc Albrighton,,England,Leicester City,1 (0)
,Toby Alderweireld,,Belgium,Tottenham Hotspur,1 (0)
,Alisson,,Brazil,Liverpool FC,1 (0)
,Steven Alzate,,Colombia,Brighton & Hove Albion,1 (0)
